customer,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,emailsclick,avgorder,ordfreq,paperless,refill,doorstep,favday,city
58,1,13/07/2010,28/03/2011,02/10/2013,23,95.65217391,0.0,0,68.82,0.032644178,0,0,0,Monday,BOM
59,1,05/10/2010,26/10/2013,26/10/2013,34,14.70588235,0.0,0,44.05,0.0,0,1,0,Tuesday,BOM
60,0,27/08/2010,07/09/2010,07/09/2010,0,0.0,0.0,0,184.37,0.0,0,0,0,Wednesday,DEL
61,1,14/06/2010,28/04/2011,01/07/2013,41,43.90243902,0.0,0,27.11,0.065408805,1,0,0,Thursday,DEL
62,0,26/08/2010,23/09/2010,25/11/2012,0,0.0,0.0,0,65.77,0.018891688,1,0,0,Wednesday,MAA
63,1,05/09/2010,06/09/2010,18/06/2012,42,26.19047619,0.02380952381,0,44.97,0.006144393,0,0,0,Tuesday,BOM
64,0,20/09/2010,14/10/2010,14/10/2010,0,0.0,0.0,0,69.69,0.0,0,0,0,Thursday,DEL
65,0,15/03/2011,28/03/2011,11/04/2011,33,75.75757576,0.0,0,49.76,0.214285714,0,0,0,Tuesday,DEL
66,1,16/06/2010,21/06/2010,21/06/2010,16,0.0,0.0,0,81.95,0.0,0,0,0,Wednesday,DEL
67,0,03/11/2010,03/11/2010,06/02/2012,0,0.0,0.0,0,134.18,0.015217391,1,0,0,Tuesday,BOM
68,1,02/10/2008,02/10/2008,02/10/2008,14,0.0,0.0,0,63.18,0.0,0,0,0,Thursday,DEL
69,1,29/11/2009,22/07/2011,08/01/2014,45,77.77777778,0.2,1,42.62,0.064372919,1,0,0,Monday,DEL
70,1,09/02/2010,30/03/2010,30/03/2010,16,0.0,0.0,0,23.79,0.0,0,0,0,Wednesday,DEL
71,1,12/07/2010,20/11/2012,20/11/2012,46,93.47826087,0.152173913,1,165.07,0.0,0,0,0,Tuesday,DEL
72,0,18/08/2010,23/08/2010,23/08/2010,0,0.0,0.0,0,29.68,0.0,0,0,0,Tuesday,DEL
73,1,07/08/2009,11/09/2009,10/10/2013,45,4.444444444,0.02222222222,0,39.41,0.006711409,0,0,0,Friday,DEL
74,1,18/01/2011,28/06/2012,28/06/2012,47,2.127659574,0.0,0,73.07,0.0,0,0,0,Friday,DEL
75,1,17/08/2010,26/04/2011,23/10/2011,18,0.0,0.0,0,50.87,0.072222222,0,0,0,Wednesday,DEL
76,0,23/01/2010,01/03/2010,11/10/2010,0,0.0,0.0,0,35.09,0.09375,0,0,0,Monday,DEL
77,1,03/02/2011,03/02/2011,27/03/2011,42,38.0952381,0.0,0,85.37,0.076923077,0,0,0,Monday,DEL
78,0,08/12/2010,08/12/2010,08/12/2010,0,0.0,0.0,0,60.3,0.0,0,0,0,Thursday,DEL
79,1,05/10/2009,16/10/2009,18/10/2011,44,25.0,0.1136363636,1,117.32,0.032786885,1,0,0,Friday,DEL
80,1,30/11/2009,30/11/2009,13/11/2012,47,0.0,0.0,0,105.45,0.003707136,0,0,0,Tuesday,DEL
81,1,11/04/2011,11/04/2011,29/07/2012,45,6.666666667,0.02222222222,0,165.23,0.010526316,1,0,0,Monday,BOM
82,1,07/10/2008,21/12/2009,21/12/2009,45,6.666666667,0.0,0,52.4,0.0,0,0,0,Tuesday,DEL
83,1,23/03/2011,23/03/2011,03/01/2014,39,87.17948718,0.1282051282,1,30.48,0.015732547,0,0,0,Tuesday,BOM
84,1,16/04/2010,20/04/2012,20/04/2012,16,0.0,0.0,0,33.57,0.0,0,0,0,Thursday,DEL
85,0,01/05/2010,09/05/2011,09/05/2011,0,0.0,0.0,0,83.04,0.0,0,0,0,Monday,DEL
86,0,15/04/2010,14/04/2011,28/07/2011,0,0.0,0.0,0,54.82,0.076190476,0,0,0,Thursday,DEL
87,1,12/07/2010,26/07/2010,14/11/2011,47,2.127659574,0.0,0,20.54,0.008403361,0,0,0,Monday,DEL
88,1,30/04/2009,07/05/2009,07/05/2009,16,0.0,0.0,0,53.36,0.0,0,0,0,Friday,DEL
89,1,09/01/2011,01/02/2011,19/07/2012,42,16.66666667,0.02380952381,0,27.74,0.005617978,0,0,0,Friday,BOM
90,0,06/04/2011,06/04/2011,06/04/2011,0,0.0,0.0,0,25.0,0.0,0,0,0,Thursday,DEL
91,1,11/10/2010,11/10/2010,12/01/2011,39,35.8974359,0.0,0,130.51,0.021505376,0,0,0,Tuesday,DEL
92,0,10/04/2011,01/05/2011,13/05/2012,0,0.0,0.0,0,141.97,0.015873016,0,0,0,Monday,DEL
93,0,31/03/2010,12/09/2010,12/10/2011,0,0.0,0.0,0,47.5,0.010126582,1,0,0,Thursday,DEL
94,0,03/05/2010,05/07/2010,11/11/2010,0,0.0,0.0,0,111.86,0.054263566,0,0,0,Tuesday,DEL
95,1,01/12/2010,12/06/2011,22/07/2013,46,19.56521739,0.1086956522,1,29.73,0.006485084,1,0,0,Tuesday,MAA
96,0,03/09/2010,24/09/2010,17/03/2011,0,0.0,0.0,0,109.16,0.022988506,0,0,0,Monday,DEL
97,0,19/06/2010,30/06/2010,30/06/2010,0,0.0,0.0,0,27.6,0.0,0,0,0,Thursday,DEL
98,1,06/09/2010,21/08/2011,21/08/2011,38,28.94736842,0.18421052629999998,1,54.62,0.0,0,0,0,Friday,BOM
99,0,21/09/2010,10/03/2011,10/03/2011,0,0.0,0.0,0,37.2,0.0,0,0,0,Thursday,BOM
100,1,13/11/2009,13/11/2009,13/11/2009,40,22.5,0.0,0,139.88,0.0,0,0,0,Friday,DEL
101,0,15/02/2010,22/02/2010,22/02/2010,0,0.0,0.0,0,57.3,0.0,0,0,0,Monday,DEL
102,1,16/02/2009,20/09/2010,02/12/2013,52,3.846153846,0.01923076923,0,59.35,0.020530368,1,0,0,Monday,DEL
103,1,21/02/2011,28/02/2011,20/02/2012,34,79.41176471,0.17647058820000003,1,44.25,0.014005602,0,0,0,Monday,DEL
104,1,23/08/2010,26/01/2011,31/03/2011,18,0.0,0.0,0,18.42,0.203125,0,0,0,Thursday,DEL
105,1,25/01/2011,01/02/2011,01/02/2011,40,25.0,0.0,0,302.43,0.0,0,0,0,Thursday,BOM
106,1,17/03/2011,05/05/2011,27/05/2011,47,2.127659574,0.0,0,50.79,0.272727273,0,0,0,Friday,BOM
107,1,12/02/2010,04/10/2011,05/11/2013,37,5.405405405,0.054054054049999994,0,57.22,0.00655308,1,0,0,Wednesday,DEL
108,1,08/02/2011,08/02/2011,19/07/2011,41,21.95121951,0.14634146339999998,1,72.66,0.01863354,0,0,0,Wednesday,DEL
109,1,10/03/2011,13/05/2011,20/05/2011,16,0.0,0.0,0,71.96,0.285714286,0,0,0,Friday,BOM
110,1,29/10/2009,29/10/2009,22/11/2009,16,0.0,0.0,0,37.81,0.083333333,0,0,0,Friday,DEL
111,1,06/02/2011,02/07/2012,02/07/2012,42,23.80952381,0.0,0,16.14,0.0,0,0,0,Monday,BOM
112,1,27/06/2010,31/08/2010,06/11/2013,45,22.22222222,0.08888888889,1,104.22,0.012897678,0,0,0,Wednesday,MAA
113,1,01/03/2011,13/03/2011,11/04/2011,42,23.80952381,0.0,0,86.73,0.103448276,0,0,0,Monday,DEL
114,1,25/08/2010,25/08/2010,25/08/2010,44,29.54545455,0.0,0,30.57,0.0,0,0,0,Friday,DEL
115,0,14/07/2009,14/07/2009,14/07/2009,0,0.0,0.0,0,23.65,0.0,0,0,0,Tuesday,DEL
116,0,12/09/2010,10/02/2011,17/02/2011,0,0.0,0.0,0,120.14,0.714285714,0,0,0,Thursday,DEL
117,1,09/12/2010,22/12/2010,15/12/2013,46,6.52173913,0.0,0,70.32,0.019283747,0,0,0,Monday,DEL
118,0,28/09/2010,19/10/2010,19/10/2010,0,0.0,0.0,0,57.76,0.0,0,0,0,Wednesday,DEL
119,1,27/08/2010,10/02/2011,31/07/2012,47,17.0212766,0.06382978723,0,55.18,0.020484171,0,0,0,Wednesday,BOM
120,1,06/10/2010,13/10/2010,11/12/2013,48,4.166666667,0.0,0,96.37,0.007792208,1,0,0,Monday,DEL
121,0,23/02/2011,24/02/2011,24/02/2011,0,0.0,0.0,0,55.68,0.0,0,0,0,Friday,BOM
122,1,06/12/2009,06/12/2009,06/12/2009,16,0.0,0.0,0,20.2,0.0,0,0,0,Monday,DEL
123,0,26/08/2009,26/08/2009,26/08/2009,0,0.0,0.0,0,29.0,0.0,0,0,0,Thursday,DEL
124,1,02/03/2011,10/01/2014,19/01/2014,11,27.27272727,0.1818181818,1,38.46,0.222222222,1,1,1,Monday,BOM
125,1,04/12/2008,19/01/2010,15/01/2014,22,4.545454545,0.04545454545,0,36.48,0.009608785,0,0,0,Monday,DEL
126,1,09/02/2010,12/03/2010,03/12/2010,18,0.0,0.0,0,51.3,0.045112782,0,0,0,Friday,DEL
127,0,07/03/2011,08/03/2011,10/04/2011,0,0.0,0.0,0,171.7,0.060606061,0,0,0,Tuesday,BOM
128,1,13/02/2011,04/08/2011,14/11/2011,34,64.70588235,0.02941176471,0,93.96,0.019607843,0,0,0,Friday,BOM
129,0,07/09/2010,25/01/2011,28/05/2013,0,0.0,0.0,0,67.95,0.018735363,0,0,0,Wednesday,DEL
130,1,29/01/2010,22/10/2010,10/10/2013,47,2.127659574,0.0,0,110.02,0.04704797,0,0,0,Tuesday,DEL
131,1,18/02/2011,12/05/2011,13/01/2012,47,0.0,0.0,0,37.35,0.016260163,0,0,0,Thursday,BOM
132,0,10/12/2009,10/12/2009,05/02/2010,0,0.0,0.0,0,21.98,0.052631579,0,0,0,Friday,DEL
133,0,02/05/2010,07/07/2011,27/07/2011,0,0.0,0.0,0,147.35,0.45,0,0,0,Friday,DEL
134,0,13/01/2011,28/09/2011,06/02/2012,0,0.0,0.0,0,99.47,0.022900763,0,0,0,Wednesday,DEL
135,0,09/11/2009,19/08/2010,17/11/2011,0,0.0,0.0,0,75.83,0.041758242,0,0,0,Friday,DEL
136,1,09/08/2010,06/12/2010,17/10/2011,32,87.5,0.0625,0,27.77,0.025396825,0,0,0,Monday,BOM
137,0,28/09/2010,29/09/2010,29/09/2010,0,0.0,0.0,0,83.85,0.0,0,0,0,Thursday,DEL
138,1,21/01/2010,01/03/2010,03/05/2010,41,56.09756098,0.0,0,13.73,0.111111111,0,0,0,Monday,DEL
139,0,15/11/2009,29/03/2010,29/03/2010,2,50.0,0.0,0,31.04,0.0,0,0,0,Monday,DEL
140,1,22/04/2011,22/04/2011,19/01/2014,67,25.37313433,0.08955223881,1,85.66,0.11665005,1,1,0,Monday,BOM
141,1,29/01/2011,13/02/2011,16/01/2014,39,87.17948718,0.1282051282,1,101.64,0.005617978,0,0,0,Monday,BOM
142,1,30/08/2010,17/06/2013,07/07/2013,47,0.0,0.0,0,44.94,0.2,0,0,0,Wednesday,DEL
143,1,18/01/2011,30/06/2013,30/06/2013,44,4.545454545,0.0,0,50.94,0.0,0,0,0,Monday,DEL
144,1,22/03/2011,05/04/2011,03/05/2011,46,4.347826087,0.04347826086999999,0,56.53,0.142857143,1,0,0,Wednesday,MAA
145,1,27/03/2011,06/10/2013,06/10/2013,34,23.52941176,0.08823529411999999,1,41.0,0.0,0,0,0,Thursday,BOM
146,1,,,,47,0.0,0.0,0,121.11,0.0,0,0,0,Wednesday,DEL
147,0,05/05/2010,03/12/2010,03/12/2010,0,0.0,0.0,0,129.76,0.0,0,0,0,Friday,DEL
148,1,09/11/2010,11/01/2011,04/03/2013,45,4.444444444,0.0,0,46.46,0.039591315,0,0,0,Tuesday,BOM
149,1,10/11/2009,17/11/2009,14/12/2009,16,0.0,0.0,0,49.8,0.111111111,0,0,0,Friday,DEL
150,0,26/04/2010,23/11/2010,23/11/2010,0,0.0,0.0,0,28.37,0.0,0,0,0,Wednesday,DEL
151,0,27/08/2009,27/08/2009,27/08/2009,0,0.0,0.0,0,27.57,0.0,0,0,0,Tuesday,DEL
152,1,22/04/2011,13/06/2011,20/05/2012,45,2.222222222,0.0,0,63.28,0.00877193,0,0,0,Monday,DEL
153,0,10/05/2011,15/05/2011,04/06/2013,1,0.0,0.0,0,87.01,0.083888149,0,0,0,Monday,DEL
154,1,02/07/2010,04/07/2011,01/09/2013,45,11.11111111,0.0,0,55.71,0.007594937,0,0,0,Thursday,DEL
155,0,24/01/2011,24/01/2011,24/01/2011,0,0.0,0.0,0,30.63,0.0,0,0,0,Tuesday,DEL
156,1,09/07/2010,12/04/2011,06/09/2013,38,28.94736842,0.0,0,28.7,0.089977221,1,0,0,Wednesday,MAA
157,0,30/05/2010,30/05/2010,30/05/2010,0,0.0,0.0,0,26.25,0.0,0,0,0,Monday,DEL
158,1,16/11/2010,22/04/2011,19/01/2014,72,30.55555556,0.0,0,80.06,0.175473579,0,1,0,Monday,BOM
159,1,07/08/2008,24/03/2010,14/01/2014,51,19.60784314,0.13725490199999998,1,53.37,0.122126437,0,1,0,Wednesday,DEL
160,1,12/01/2011,21/05/2012,28/06/2012,43,6.976744186,0.06976744186,0,52.63,0.078947368,1,0,0,Tuesday,DEL
161,0,15/04/2010,15/04/2010,15/04/2010,0,0.0,0.0,0,142.5,0.0,0,0,0,Friday,DEL
162,0,07/03/2011,07/03/2011,17/05/2011,0,0.0,0.0,0,64.77,0.028169014,0,0,0,Thursday,BOM
163,0,11/05/2011,11/06/2011,11/06/2011,0,0.0,0.0,0,53.95,0.0,0,0,0,Tuesday,DEL
164,0,10/02/2010,09/01/2011,07/10/2012,0,0.0,0.0,0,70.83,0.018838305,0,0,0,Monday,DEL
165,0,20/10/2010,07/11/2010,07/11/2010,0,0.0,0.0,0,49.76,0.0,0,0,0,Friday,DEL
166,0,22/03/2011,02/05/2011,13/06/2011,41,21.95121951,0.0,0,71.57,0.119047619,0,0,0,Monday,BOM
167,1,04/10/2010,02/03/2011,02/03/2011,40,5.0,0.0,0,48.29,0.0,0,0,0,Thursday,DEL
168,1,09/03/2011,07/04/2011,05/08/2011,39,7.692307692,0.025641025640000002,0,105.92,0.033333333,0,0,0,Friday,DEL
169,0,24/01/2011,07/04/2011,19/02/2013,0,0.0,0.0,0,180.43,0.043859649,1,0,0,Friday,DEL
170,0,18/02/2011,27/03/2011,19/08/2013,0,0.0,0.0,0,151.63,0.057077626,1,0,0,Friday,DEL
171,0,03/05/2011,03/05/2011,03/05/2011,0,0.0,0.0,0,47.16,0.0,0,0,0,Wednesday,DEL
172,0,12/10/2010,01/02/2012,01/02/2012,0,0.0,0.0,0,52.62,0.0,0,0,0,Wednesday,BOM
173,1,27/09/2010,11/10/2010,11/10/2010,41,14.63414634,0.0243902439,0,41.29,0.0,0,0,0,Wednesday,DEL
174,0,17/03/2010,17/03/2010,17/03/2010,28,21.42857143,0.0,0,30.09,0.0,0,0,0,Thursday,DEL
175,0,25/08/2010,25/10/2011,15/11/2011,27,62.96296296,0.0,0,72.78,0.19047619,0,0,0,Wednesday,DEL
176,1,20/09/2010,17/04/2011,17/04/2011,46,4.347826087,0.021739130430000003,0,103.83,0.0,1,0,0,Tuesday,DEL
177,1,12/08/2010,07/01/2011,05/11/2013,48,10.41666667,0.08333333333000001,1,132.43,0.052274927,1,0,0,Tuesday,DEL
178,0,12/04/2011,12/04/2011,12/04/2011,0,0.0,0.0,0,63.9,0.0,0,0,0,Tuesday,DEL
179,0,24/01/2011,20/03/2011,26/09/2013,0,0.0,0.0,0,53.85,0.060803474,1,0,0,Friday,DEL
180,0,,,,14,100.0,0.2142857143,1,60.97,0.0,1,1,0,Tuesday,BOM
181,0,26/06/2009,21/01/2010,20/07/2010,0,0.0,0.0,0,48.81,0.244444444,0,0,0,Thursday,DEL
182,0,06/03/2011,10/03/2011,10/03/2011,0,0.0,0.0,0,67.94,0.0,0,0,0,Thursday,BOM
183,1,17/12/2009,16/05/2011,03/09/2012,45,0.0,0.0,0,71.56,0.004201681,0,0,0,Tuesday,DEL
184,0,17/11/2010,17/11/2010,17/11/2010,0,0.0,0.0,0,49.83,0.0,0,0,0,Friday,DEL
185,1,21/10/2010,25/03/2011,30/03/2012,18,0.0,0.0,0,40.97,0.016172507,0,0,0,Friday,BOM
186,1,02/09/2010,07/11/2010,21/10/2013,53,3.773584906,0.01886792453,0,85.39,0.014828545,0,0,0,Monday,DEL
187,1,27/08/2010,15/11/2011,15/11/2011,38,39.47368421,0.1578947368,1,52.15,0.0,0,0,0,Thursday,BOM
188,1,24/04/2011,04/05/2011,26/06/2013,31,100.0,0.1935483871,1,103.97,0.047193878,1,0,0,Thursday,DEL
189,0,23/01/2011,29/03/2011,16/05/2011,0,0.0,0.0,0,35.82,0.333333333,0,0,0,Tuesday,BOM
190,0,02/09/2010,15/09/2010,13/10/2010,0,0.0,0.0,0,33.81,0.178571429,0,0,0,Thursday,BOM
191,1,25/01/2011,01/02/2011,01/02/2011,36,58.33333333,0.0,0,30.36,0.0,0,0,0,Wednesday,BOM
192,1,18/09/2010,20/09/2010,24/08/2012,32,93.75,0.0,0,74.45,0.009943182,0,0,0,Monday,DEL
193,1,06/03/2011,06/04/2011,19/01/2014,60,30.0,0.08333333333000001,1,147.77,0.122669284,0,0,1,Friday,BOM
194,0,21/07/2008,19/08/2008,07/04/2009,0,0.0,0.0,0,16.09,0.034632035,0,0,0,Tuesday,DEL
195,0,24/11/2009,22/10/2010,13/01/2014,13,100.0,0.4615384615,1,74.59,0.039864292,1,1,0,Friday,DEL
196,1,22/08/2010,22/08/2010,17/06/2013,47,4.255319149,0.04255319149,0,48.01,0.006796117,0,0,0,Monday,DEL
197,1,01/09/2010,01/05/2011,17/06/2013,48,2.083333333,0.0,0,228.24,0.075835476,0,0,0,Monday,DEL
198,1,23/03/2010,27/04/2010,06/11/2013,48,16.66666667,0.1041666667,1,49.81,0.010861133,0,0,0,Friday,DEL
199,1,24/02/2011,24/04/2011,30/04/2011,16,0.0,0.0,0,79.25,0.333333333,0,0,0,Monday,DEL
200,1,27/12/2009,05/03/2010,13/07/2011,45,8.888888889,0.02222222222,0,50.49,0.074747475,0,0,0,Friday,DEL
201,1,03/02/2011,10/02/2011,22/05/2011,16,0.0,0.0,0,51.31,0.01980198,0,0,0,Wednesday,BOM
202,1,14/02/2011,14/02/2011,14/02/2011,45,0.0,0.0,0,41.81,0.0,0,0,0,Monday,DEL
203,1,27/10/2010,15/11/2010,16/01/2014,47,31.91489362,0.04255319149,0,34.51,0.008635579,0,0,0,Wednesday,BOM
204,1,09/09/2009,18/03/2010,25/10/2012,46,13.04347826,0.0,0,48.65,0.022058824,0,0,0,Friday,DEL
205,0,06/03/2011,29/04/2011,08/09/2012,0,0.0,0.0,0,59.7,0.108433735,1,0,0,Monday,BOM
206,1,06/05/2009,22/02/2011,05/11/2013,44,45.45454545,0.1136363636,1,54.35,0.051671733,0,0,0,Tuesday,DEL
207,1,22/07/2010,02/09/2013,30/12/2013,41,29.26829268,0.0487804878,0,50.46,0.016806723,1,0,0,Tuesday,BOM
208,1,11/01/2010,11/01/2010,11/01/2010,45,6.666666667,0.02222222222,0,25.93,0.0,0,0,0,Tuesday,DEL
209,1,17/01/2011,01/02/2011,02/03/2011,16,0.0,0.0,0,57.74,0.068965517,0,0,0,Wednesday,BOM
210,1,08/04/2011,11/04/2011,11/04/2011,44,6.818181818,0.0,0,200.24,0.0,0,0,0,Wednesday,BOM
211,0,10/05/2011,23/05/2011,23/05/2011,14,14.28571429,0.0,0,49.97,0.0,0,0,0,Monday,DEL
212,1,05/01/2009,16/04/2009,12/06/2011,37,70.27027027,0.0,0,40.66,0.005082592,0,0,0,Thursday,DEL
213,0,11/12/2009,21/12/2009,15/06/2013,0,0.0,0.0,0,168.93,0.011792453,1,0,0,Monday,DEL
214,0,09/07/2010,06/07/2011,06/07/2011,0,0.0,0.0,0,50.73,0.0,0,0,0,Wednesday,DEL
215,1,16/10/2010,16/10/2010,17/12/2013,52,17.30769231,0.05769230769,0,90.59,0.015544041,1,0,0,Monday,BOM
216,1,01/09/2010,23/11/2010,26/11/2013,51,1.960784314,0.0,0,63.53,0.020018198,0,0,0,Wednesday,DEL
217,1,24/10/2010,13/01/2011,03/10/2013,46,0.0,0.0,0,149.33,0.02917505,1,0,0,Thursday,DEL
218,1,02/11/2010,26/12/2010,19/01/2011,42,14.28571429,0.02380952381,0,99.97,0.208333333,0,0,0,Tuesday,DEL
219,1,18/01/2011,05/04/2011,05/11/2013,47,10.63829787,0.0,0,115.96,0.037037037,1,0,0,Monday,DEL
